順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,シャドウメテオ,+12.5,12.1,6人気,+4.0前走3F最速 / +2.0調教B評価 / +1.0前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.0複勝安定ボーナス / +1.0勝利数ボーナス,-1.0距離延長,好調持続
2,1,1,ベトルス,+11.5,3.2,1人気,+3.0調教A評価 / +1.0前走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス / +2.0勝利数ボーナス,,迫力満点
3,7,12,オストラヴァ,+11.5,4.7,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.5前走好走 / +1.0前々走好走 / +3.0複勝安定ボーナス / +2.0勝利数ボーナス,,好気配
4,4,6,バレンタインガール,+10.0,9.3,4人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス / +1.0勝利数ボーナス,,出来は良
5,6,10,ベンサレム,+9.5,38.1,10人気,+3.0同コース実績 / +1.0調教C評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス / +2.0勝利数ボーナス,-0.5血統距離適性,平行線
6,5,8,ジョイボーイ,+8.5,9.9,5人気,+2.0調教B評価 / +1.5前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス / +2.0勝利数ボーナス,-0.5枠番補正,追毎良化
7,4,5,スピードリッチ,+6.5,7.0,3人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0前走好走,-0.5血統距離適性,叩き良化
8,3,4,ダノンホイットニー,+5.5,58.2,13人気,+3.0同コース実績 / +1.0調教C評価 / +1.5前々走好走 / +1.0勝利数ボーナス,-1.0長期休養明け,仕上がる
9,2,2,レッドテリオス,+4.0,12.3,7人気,+2.0調教B評価 / +1.0近走上昇傾向 / +0.5血統距離適性 / +0.5枠番補正,,好調子
10,5,7,エコロレイズ,+3.5,41.1,11人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +1.0勝利数ボーナス,-0.5枠番補正,気配上昇
11,6,9,ウインルーティン,+3.0,54.0,12人気,+2.0調教B評価 / +1.0血統距離適性,,元気一杯
12,8,14,キントリヒ,+3.0,118.2,14人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0血統距離適性,-1.0距離延長 / -2.0前走ローカル,動き良化
13,8,13,ログラール,+2.0,23.5,9人気,+1.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0勝利数ボーナス,-0.5血統距離適性 / -3.0距離延長,上積十分
14,7,11,キングノジョー,+1.0,12.7,8人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0勝利数ボーナス,-3.0距離延長,変身注

■レース情報,芝2400m,202605030410

■買いサイン,📋 フォームB推奨,14頭立て→ROI164% / 3勝以上×12.1倍→高ROI帯（10倍超でも期待値プラス）

■評価コメント
,14頭立てで頭数多め。フォームBでカバレッジを広げる。ROI164%ゾーン。

■三連複フォームB,4頭BOX (4点) ← ROI466%,"対象馬:3,1,12,6",4点
,1－3－6
,1－3－12
,1－6－12
,3－6－12

■三連複10点,軸:3番シャドウメテオ,"相手(2〜6位):1,12,6,10,8",10点
,1－3－6
,1－3－8
,1－3－10
,1－3－12
,3－6－8
,3－6－10
,3－6－12
,3－8－10
,3－8－12
,3－10－12

■三連複7点,軸:3番シャドウメテオ×1番ベトルス,"相手(3〜9位):12,6,10,8,5,4,2",7点
,1－2－3
,1－3－4
,1－3－5
,1－3－6
,1－3－8
,1－3－10
,1－3－12
