順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,シャドウメテオ,+11.5,10.2,6人気,+4.0前走3F最速 / +2.0調教B評価 / +1.0前走好走 / +1.5前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.0複勝安定ボーナス,-1.0距離延長,好調持続
2,1,1,ベトルス,+9.5,3.8,1人気,+3.0調教A評価 / +1.0前走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス,,迫力満点
3,7,12,オストラヴァ,+9.5,5.7,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.5前走好走 / +1.0前々走好走 / +3.0複勝安定ボーナス,,好気配
4,4,6,バレンタインガール,+9.0,8.7,4人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,,出来は良
5,6,10,ベンサレム,+7.5,27.6,10人気,+3.0同コース実績 / +1.0調教C評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,-0.5血統距離適性,平行線
6,4,5,スピードリッチ,+6.5,8.0,3人気,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0前走好走,-0.5血統距離適性,叩き良化
7,2,2,レッドテリオス,+4.0,9.2,5人気,+2.0調教B評価 / +1.0近走上昇傾向 / +0.5血統距離適性 / +0.5枠番補正,,好調子
8,5,8,ジョイボーイ,+3.5,10.3,7人気,+2.0調教B評価 / +1.5前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,-3.0長期休養明け / -0.5枠番補正,追毎良化
9,6,9,ウインルーティン,+3.0,37.4,12人気,+2.0調教B評価 / +1.0血統距離適性,,元気一杯
10,8,14,キントリヒ,+3.0,67.9,14人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0血統距離適性,-1.0距離延長 / -2.0前走ローカル,動き良化
11,3,4,ダノンホイットニー,+2.5,45.8,13人気,+3.0同コース実績 / +1.0調教C評価 / +1.5前々走好走,-3.0長期休養明け,仕上がる
12,5,7,エコロレイズ,+2.5,36.0,11人気,+2.0調教B評価 / +1.0グレード実績(3-4走前),-0.5枠番補正,気配上昇
13,8,13,ログラール,+1.0,14.5,9人気,+1.5同コース実績 / +2.0調教B評価 / +1.0叩き2戦目,-0.5血統距離適性 / -3.0距離延長,上積十分
14,7,11,キングノジョー,+0.0,12.4,8人気,+2.0調教B評価 / +1.0叩き2戦目,-3.0距離延長,変身注

■レース情報,芝2400m,202605030410

■買いサイン,見送り,軸10.2倍（8〜14倍）

■評価コメント
,14頭立てで頭数多め。フォームBでカバレッジを広げる。ROI164%ゾーン。

■三連複フォームB,軸:3番シャドウメテオ,"相手A(2〜4位):1,12,6,10","相手B(2〜8位):1,12,6,10,5,2,8,9",22点
,1－2－3
,1－3－5
,1－3－6
,1－3－8
,1－3－9
,1－3－10
,1－3－12
,2－3－6
,2－3－10
,2－3－12
,3－5－6
,3－5－10
,3－5－12
,3－6－8
,3－6－9
,3－6－10
,3－6－12
,3－8－10
,3－8－12
,3－9－10
,3－9－12
,3－10－12

■三連複10点,軸:3番シャドウメテオ,"相手(2〜6位):1,12,6,10,5",10点
,1－3－5
,1－3－6
,1－3－10
,1－3－12
,3－5－6
,3－5－10
,3－5－12
,3－6－10
,3－6－12
,3－10－12

■三連複7点,軸:3番シャドウメテオ×1番ベトルス,"相手(3〜9位):12,6,10,5,2,8,9",7点
,1－2－3
,1－3－5
,1－3－6
,1－3－8
,1－3－9
,1－3－10
,1－3－12
