順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,4,フジガイフウ,+11.0,2.1,1人気,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.5前走好走 / +0.5血統距離適性 / +0.5枠番補正 / +3.0複勝安定ボーナス,-0.5ペース適性,好調持続
2,1,1,テーオーアルアイン,+9.5,5.1,2人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0前走好走 / +1.5前々走好走 / +1.0血統距離適性 / +2.0複勝安定ボーナス / +0.5ペース適性,-0.5枠番補正,更に上昇
3,6,6,ミーントゥビー,+6.5,12.3,5人気,+4.0前走3F最速 / +2.0調教B評価 / +1.0距離短縮,-0.5ペース適性,キビキビ
4,5,5,レッドバレンティア,+5.0,34.4,9人気,+2.0調教B評価 / +1.0近走上昇傾向 / +1.0距離短縮 / +0.5血統距離適性 / +0.5ペース適性,,好気配
5,8,10,ルクスジニア,+4.5,7.0,3人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性 / +1.0ペース適性,,余力有り
6,8,11,クールデイトナ,+4.5,7.6,4人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5ペース適性,,素軽い
7,3,3,ロゼル,+3.5,74.9,11人気,+2.0調教B評価 / +1.0距離短縮 / +0.5ペース適性,,出来は良
8,6,7,コムユンプリュム,+3.0,18.2,7人気,+1.0調教C評価 / +1.0グレード実績(3-4走前) / +1.0ペース適性,,まずまず
9,7,8,アージェント,+3.0,13.3,6人気,+2.0調教B評価 / +1.0叩き2戦目,,動き軽快
10,2,2,ホークマン,+2.5,53.1,10人気,+1.0調教C評価 / +1.0距離短縮 / +0.5ペース適性,,目立たず
11,7,9,ミクストベリーズ,+1.5,23.0,8人気,+1.0同コース実績 / +1.0調教C評価,-0.5ペース適性,遅れ上々

■レース情報,芝1600m,202605030409

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位テーオーアルアイン5.1倍（スコア差1.5pt）。

■三連複フォームB,5頭BOX (10点) ← ROI124%,"対象馬:4,1,6,5,10",10点
,1－4－5
,1－4－6
,1－4－10
,1－5－6
,1－5－10
,1－6－10
,4－5－6
,4－5－10
,4－6－10
,5－6－10

■三連複10点,軸:4番フジガイフウ,"相手(2〜6位):1,6,5,10,11",10点
,1－4－5
,1－4－6
,1－4－10
,1－4－11
,4－5－6
,4－5－10
,4－5－11
,4－6－10
,4－6－11
,4－10－11

■三連複7点,軸:4番フジガイフウ×1番テーオーアルアイン,"相手(3〜9位):6,5,10,11,3,7,8",7点
,1－3－4
,1－4－5
,1－4－6
,1－4－7
,1－4－8
,1－4－10
,1－4－11
