順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,1,2,マーブルパレス,+6.5,4.1,1人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +3.0内枠先行,,仕上良好
2,6,12,フェアリーライズ,+6.5,57.4,14人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,,急仕上げ
3,3,6,ライツユーアップ,+5.5,15.0,7人気,+2.0調教B評価 / +1.0距離短縮 / +1.5前々走好走 / +0.5血統距離適性 / +0.5枠番補正,,気配上々
4,1,1,ハリウッドメモリー,+5.0,4.6,2人気,+2.0調教B評価 / +1.0前走好走 / +1.0前々走好走 / +1.0血統距離適性,,仕上り早
5,2,4,エクストラバック,+3.5,10.7,5人気,+2.0調教B評価 / +1.0距離短縮 / +0.5枠番補正,,仕上良好
6,7,14,フードマン,+3.0,7.3,4人気,+1.0調教C評価 / +1.0距離短縮 / +1.0前々走好走,,仕上十分
7,4,8,ガットネロ,+2.5,43.7,12人気,+2.0調教B評価 / +1.0叩き2戦目,-0.5枠番補正,変身注
8,6,11,エクセルゴールド,+2.5,48.8,13人気,+2.0前走3F最速 / +2.0調教B評価 / +1.0近走上昇傾向,-0.5血統距離適性 / -2.0前走ローカル,状態良好
9,4,7,リリーフィールド,+2.0,7.0,3人気,+2.0調教B評価 / +0.5血統距離適性,-0.5枠番補正,元気一杯
10,5,9,ミニョンマルーン,+2.0,14.9,6人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0血統距離適性,-2.0前走ローカル,反応上々
11,7,13,ヴィヴァクラウン,+2.0,21.5,10人気,+2.0調教B評価,,出来安定
12,2,3,ムチャスグラシアス,+1.5,67.5,15人気,+2.0調教B評価 / +1.0叩き2戦目 / +0.5枠番補正,-2.0前走ローカル,気配上昇
13,8,15,ベビーズブレス,+1.5,16.2,9人気,+1.0調教C評価 / +0.5血統距離適性,,仕上るも
14,8,16,フミサウンド,+1.5,31.0,11人気,+1.0調教C評価 / +1.0距離短縮,-0.5血統距離適性,平行線
15,3,5,ゴキゲンサン,+0.5,15.6,8人気,+1.0調教C評価 / +1.0叩き2戦目 / +0.5枠番補正,-2.0前走ローカル,遅れ上々
16,5,10,スミレファースト,-4.0,81.9,16人気,+1.0調教C評価,-5.0初馬場種別,仕上がる

■レース情報,芝1200m,202602010211

■買いサイン,フォームB推奨,乖離0.0pt横並び→ROI222% / 16頭立て→ROI164%

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位フェアリーライズ57.4倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複フォームB,軸:2番マーブルパレス,"相手A(2〜4位):12,6,1,4","相手B(2〜8位):12,6,1,4,14,8,11,7",22点
,1－2－4
,1－2－6
,1－2－7
,1－2－8
,1－2－11
,1－2－12
,1－2－14
,2－4－6
,2－4－7
,2－4－8
,2－4－11
,2－4－12
,2－4－14
,2－6－7
,2－6－8
,2－6－11
,2－6－12
,2－6－14
,2－7－12
,2－8－12
,2－11－12
,2－12－14

■三連複10点,軸:2番マーブルパレス,"相手(2〜6位):12,6,1,4,14",10点
,1－2－4
,1－2－6
,1－2－12
,1－2－14
,2－4－6
,2－4－12
,2－4－14
,2－6－12
,2－6－14
,2－12－14

■三連複7点,軸:2番マーブルパレス×12番フェアリーライズ,"相手(3〜9位):6,1,4,14,8,11,7",7点
,1－2－12
,2－4－12
,2－6－12
,2－7－12
,2－8－12
,2－11－12
,2－12－14
