順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,9,キンググローリー,+13.1,12.4,7人気,+2.5同コース実績 / +2.0調教B評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0ペース適性,気配上々
2,1,1,ルージュボヤージュ,+12.9,10.5,6人気,+3.0同コース実績 / +2.0調教B評価 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0軽量馬加点 / +5.0勝利数ボーナス,,動き良化
3,8,16,スペルーチェ,+12.9,24.8,11人気,+2.0前走3F最速 / +2.0調教B評価 / +1.2近走上昇傾向 / +0.4前々走好走 / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +2.0ペース適性,-2.0距離延長 / -0.5枠番補正,キビキビ
4,3,5,リッツパーティー,+11.9,4.8,1人気,+3.0調教A評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +5.0勝利数ボーナス / +1.5ペース適性,,気配抜群
5,7,14,スカイスプレンダー,+10.9,8.3,4人気,+2.0調教B評価 / +1.0距離短縮 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +5.0勝利数ボーナス / +2.0ペース適性,-0.5枠番補正,態勢整う
6,3,6,コルテオソレイユ,+10.6,9.3,5人気,+2.0調教B評価 / +2.5近走上昇傾向 / +0.4前走好走 / +0.2前々走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +1.5ペース適性,,更に上昇
7,4,8,ディールメーカー,+10.4,17.0,9人気,+2.0調教B評価 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0ペース適性,動き上々
8,2,4,サイモンシャリオ,+10.1,73.7,16人気,+1.0調教C評価 / +0.6近走上昇傾向 / +1.0距離短縮 / +1.0血統距離適性 / +1.0軽量馬加点 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +2.0ペース適性,-0.5枠番補正,気配平凡
9,4,7,ショウナンガルフ,+10.0,53.3,14人気,+2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.5グレード実績(3-4走前) / +0.5枠番補正 / +2.5勝利数ボーナス / +2.0ペース適性,-0.5血統距離適性,一歩前進
10,7,13,サノノグレーター,+8.5,6.0,2人気,+2.0調教B評価 / +1.0距離短縮 / +0.5前々走好走 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス / +2.0ペース適性,-0.5枠番補正,キビキビ
11,6,11,コロナドブリッジ,+8.0,41.5,13人気,+2.0調教B評価 / +1.0グレード実績(3-4走前) / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-2.0ペース適性,態勢整う
12,8,15,バドリナート,+8.0,26.1,12人気,+1.0調教C評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +5.0勝利数ボーナス,-0.5枠番補正 / -1.0ペース適性,やや良化
13,6,12,ローベルクランツ,+6.4,7.1,3人気,+2.0調教B評価 / +0.4前々走好走 / +0.5枠番補正 / +2.5勝利数ボーナス / +1.5ペース適性,-0.5血統距離適性,好気配
14,1,2,クカイリモク,+6.1,12.6,8人気,+2.0調教B評価 / +0.4前走好走 / +0.2前々走好走 / +1.0軽量馬加点 / +2.5勝利数ボーナス,,上積十分
15,2,3,ジーネキング,+3.2,21.9,10人気,+2.0調教B評価 / +1.2近走上昇傾向 / +0.5血統距離適性 / +1.0内枠先行,-0.5枠番補正 / -1.0ペース適性,気配上々
16,5,10,ガリレア,+2.5,54.2,15人気,+2.0調教B評価 / +1.0血統距離適性 / +0.5枠番補正,-1.0ペース適性,キビキビ

■レース情報,芝1800m,202603020211,

■買いサイン,⚠ 見送り,GIII（三連複ROI6%以下・n=92）

■評価コメント
,重賞クラス：三連複ROI6%以下（n=92）。買い条件を満たさない。
,2位ルージュボヤージュ10.5倍（スコア差0.2pt）。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:9,1,16,5,14",10点
,1－5－9
,1－5－14
,1－5－16
,1－9－14
,1－9－16
,1－14－16
,5－9－14
,5－9－16
,5－14－16
,9－14－16

■三連複10点,軸:9番キンググローリー,"相手(2〜6位):1,16,5,14,6",10点
,1－5－9
,1－6－9
,1－9－14
,1－9－16
,5－6－9
,5－9－14
,5－9－16
,6－9－14
,6－9－16
,9－14－16

■三連複7点,軸:9番キンググローリー×1番ルージュボヤージュ,"相手(3〜9位):16,5,14,6,8,4,7",7点
,1－4－9
,1－5－9
,1－6－9
,1－7－9
,1－8－9
,1－9－14
,1－9－16
